product_id,product_name,category,brand,seller_name,vendor_id,description,color,material,size,tags,price,inventory_qty,inventory_status,units_sold_30d,gmv_last_30d,impressions,clicks,conversion_rate,rating,review_count,launch_date,catalog_owner
P0001,Kurti,Fashion,"Obrien, Rodriguez and Lewis",Cole-Moore,V018,,,,XL,,8470,201,Out of Stock,46,389620,3708,4261,5.6,3.5,363,2025-04-12,Deepali
P0002,Kurti,Fashion,"Mckay, Rojas and Jenkins",Torres and Sons,V014,Premium kurti designed for everyday use.,Black,,M,"premium,quality",9756,239,Out of Stock,97,946332,16801,3097,7.05,4.1,204,2024-10-09,Deepali
P0003,Dress,Fashion,Rasmussen Ltd,Barron and Sons,V015,,,,S,,8967,142,In Stock,106,950502,45727,313,6.4,3.5,734,2026-03-15,Deepali
P0004,Kurti,Fashion,Thomas LLC,Robinson LLC,V010,Premium kurti designed for everyday use.,White,,L,"premium,quality",1134,258,In Stock,131,148554,17398,1815,2.62,3.5,775,2025-06-03,Deepali
P0005,Jacket,Fashion,Morton-Hill,Jones-Miles,V003,Premium jacket designed for everyday use.,White,,,"premium,quality",6913,245,Out of Stock,291,2011683,31569,4840,6.71,3.8,334,2025-04-25,Deepali
P0006,Dress,Fashion,Yoder-Wright,Gutierrez-Hardy,V008,,,,XL,,715,363,Low Stock,46,32890,41677,2853,5.35,2.9,696,2026-05-28,Deepali
P0007,Jacket,Fashion,Gibson-Clark,"Garcia, Mcmahon and Rubio",V001,Premium jacket designed for everyday use.,Red,,,"premium,quality",3234,214,Low Stock,46,148764,13368,1743,0.7,4.1,468,2025-12-13,Deepali
P0008,Kurti,Fashion,Lawson-Vasquez,"Scott, Williams and Young",V018,Premium kurti designed for everyday use.,Blue,,XL,"premium,quality",4042,203,Low Stock,288,1164096,45077,864,7.03,2.6,772,2025-10-30,Deepali
P0009,Kurti,Fashion,Coleman LLC,Rodriguez-Richardson,V005,Premium kurti designed for everyday use.,Blue,,,"premium,quality",3468,129,Low Stock,223,773364,1273,4156,6.03,4.4,97,2025-02-07,Deepali
P0010,Dress,Fashion,"Parsons, Phillips and Lowery","Peterson, Webb and Baker",V015,Premium dress designed for everyday use.,Brown,,XL,"premium,quality",7810,85,Low Stock,170,1327700,4531,1074,1.89,3.6,624,2024-07-04,Deepali
P0011,Dress,Fashion,Rogers-Cochran,Bradley-Kelley,V007,Premium dress designed for everyday use.,Brown,,XL,"premium,quality",4733,39,Out of Stock,146,691018,18703,3709,2.68,3.2,344,2025-06-07,Deepali
P0012,Kurti,Fashion,Taylor-Robinson,Contreras Group,V004,Premium kurti designed for everyday use.,Blue,,M,"premium,quality",9922,261,Out of Stock,160,1587520,38090,67,0.74,4.4,240,2024-08-17,Deepali
P0013,T-Shirt,Fashion,Smith-Carter,"Walsh, Glass and Johnson",V001,Premium t-shirt designed for everyday use.,White,,L,"premium,quality",3328,249,In Stock,240,798720,2727,4793,1.53,3.2,126,2024-12-15,Deepali
P0014,T-Shirt,Fashion,Wheeler Inc,Clark Group,V005,,,,S,,3996,198,Low Stock,207,827172,45673,2347,3.16,2.5,648,2024-07-10,Deepali
P0015,Dress,Fashion,Grant-Farmer,Deleon LLC,V006,Premium dress designed for everyday use.,Black,,M,"premium,quality",2672,88,Low Stock,126,336672,16093,733,6.61,3.8,727,2025-08-31,Deepali
P0016,Dress,Fashion,Clark-Washington,"Nunez, Copeland and Gonzalez",V020,Premium dress designed for everyday use.,White,Plastic,,"premium,quality",7315,8,In Stock,288,2106720,16555,594,7.45,4.6,926,2024-10-15,Deepali
P0017,Kurti,Fashion,Ellis Group,Lozano-Rodriguez,V010,Premium kurti designed for everyday use.,Blue,,XL,"premium,quality",5392,473,Out of Stock,174,938208,1951,578,7.27,2.6,242,2025-05-19,Deepali
P0018,Jacket,Fashion,Morgan LLC,Miranda Group,V019,Premium jacket designed for everyday use.,White,Cotton,,"premium,quality",7412,171,Out of Stock,141,1045092,10832,65,4.28,3.5,813,2025-07-19,Deepali
P0019,T-Shirt,Fashion,"Brown, Evans and Golden",Zamora and Sons,V007,Premium t-shirt designed for everyday use.,Blue,,,"premium,quality",8586,143,Out of Stock,167,1433862,33574,627,5.26,4.4,283,2026-05-16,Deepali
P0020,Dress,Fashion,Cowan-Ferguson,"Evans, Fisher and Yang",V017,Premium dress designed for everyday use.,Red,,M,"premium,quality",9548,246,In Stock,169,1613612,19371,3613,1.43,3.5,771,2024-10-17,Deepali
P0021,Kurti,Fashion,Murray-Griffith,Berry PLC,V003,,,,S,,3659,291,Low Stock,175,640325,43680,2947,3.3,3.5,546,2025-01-28,Deepali
P0022,Jacket,Fashion,Maldonado Inc,"Adams, Romero and Swanson",V001,,,,M,,6886,320,Out of Stock,198,1363428,25163,4607,5.88,2.8,400,2024-06-13,Deepali
P0023,Jeans,Fashion,"Meyer, Robinson and Jefferson",King-Jackson,V008,Premium jeans designed for everyday use.,Brown,Plastic,L,"premium,quality",7806,19,Out of Stock,258,2013948,12087,2451,5.53,3.2,945,2024-11-15,Deepali
P0024,Dress,Fashion,"Myers, Villarreal and Pitts",Wright-Gonzalez,V016,,,,S,,4353,85,Low Stock,80,348240,22846,898,6.95,4.2,413,2025-01-01,Deepali
P0025,Jacket,Fashion,Terry-Wallace,"Marquez, Roberts and Carr",V004,Premium jacket designed for everyday use.,Blue,,XL,"premium,quality",8200,392,In Stock,112,918400,28310,1690,7.48,5,459,2026-02-26,Deepali
P0026,T-Shirt,Fashion,Martin-Ellis,Chen PLC,V013,Premium t-shirt designed for everyday use.,Brown,,XL,"premium,quality",5059,465,In Stock,296,1497464,21409,4244,5.14,4.4,569,2025-07-21,Deepali
P0027,Kurti,Fashion,"Wilson, Robinson and Gardner",Johnson LLC,V002,,,,L,,9144,33,In Stock,253,2313432,35261,3648,4.94,4,590,2024-09-29,Deepali
P0028,Jacket,Fashion,Mcconnell-Horn,Terry-Anderson,V016,Premium jacket designed for everyday use.,Red,Cotton,S,"premium,quality",5954,121,Low Stock,122,726388,36130,4438,4.11,4,319,2024-10-15,Deepali
P0029,Jacket,Fashion,"Chandler, West and Cobb","Dean, Hill and Ford",V015,,,,,,5584,317,Low Stock,227,1267568,38891,1413,1.81,2.7,552,2025-05-27,Deepali
P0030,Kurti,Fashion,Mejia PLC,"Baker, Warren and Young",V015,Premium kurti designed for everyday use.,White,,S,"premium,quality",8015,333,Low Stock,122,977830,41851,1971,1.82,4.4,700,2025-02-13,Deepali
